id,log_recommends
1,3.4551766597260007
2,3.806104622909398
5,3.8094782103689386
6,2.5831169017523044
11,5.048628941183294
12,6.3599752636967395
21,1.5719378674160946
32,2.4447725971118626
33,2.9715732842371145
57,5.465357262091048
61,3.72344580447845
65,3.8996660799583083
69,2.398425450292653
70,2.348165279393491
76,3.0017618303775597
79,7.0357957230158
81,4.986706931888254
82,5.918179844383442
84,5.572802327416197
85,3.982043429329196
86,5.465709603526887
87,4.792980542694367
88,6.663508585622424
89,5.924725224825997
92,4.079479867205566
93,4.739147380124811
94,4.36832795191463
95,3.0720605745955236
96,4.776429216732714
97,3.166424822026883
100,4.965176286697563
101,4.893809146738752
102,6.601157953487126
103,1.9142414690117964
104,3.500854210246289
105,4.184285961745914
106,6.27786958041966
108,6.976072739958864
111,5.6402144794827365
112,4.396082014112505
116,4.787448574756395
118,2.3388050377819876
121,3.5047933546442156
122,3.3120430006339046
124,4.664984331882502
126,4.634907629041159
132,2.511042262343026
135,4.373448613149357
136,4.5765682280905775
137,2.254252407577958
141,4.047275437643579
142,3.1472182278754577
146,3.780148645678919
152,4.540993167541441
155,2.4858844860542337
156,2.455423252590616
159,5.7587464550052045
160,3.5722417735856355
164,5.258094692900636
166,3.8135600662518874
167,2.843534373972947
176,2.4603429465817594
180,4.286530372043548
181,4.709029189848495
194,5.677924581482558
198,2.27556187824471
204,3.338910766573065
205,4.322196715504312
206,5.37317060830005
212,3.870159209317352
214,1.7285201828745334
228,1.6250877373928656
229,2.993547307067761
240,1.5344156930416197
242,3.5188297987351804
277,4.357739602804116
278,3.302823479692532
279,3.4809731668741373
282,1.4435808128279424
302,1.7686079300544086
308,1.3200220137351286
313,1.8617764680667874
348,1.490951810720815
351,3.4851494579037743
362,3.1183666132553274
363,3.0459349555995248
379,2.673735379808019
380,4.49211917937072
381,2.770662671289184
387,3.428845044104912
391,4.143526183522219
398,1.9373257741731968
404,2.570207201535685
407,3.0116818759843262
412,5.3861925984359935
416,3.9164893699748475
422,3.6765126661466128
436,4.321160937408145
447,1.660466430696963
448,1.7947610256355264
459,3.5628055967091017
461,4.126907512312799
463,5.989000873673249
464,3.2463875388755574
475,4.084080923004002
481,2.884021836696333
488,2.742045609586798
491,2.2910985719328165
492,2.7560235747328674
495,1.880008072917296
505,2.271453389489966
506,2.1937735554518816
507,4.2315026166480605
512,2.9816971536981756
515,3.482518534655871
516,4.998455924335478
525,4.429535703671798
529,4.075804792005763
532,4.490917065899864
539,4.72065236339642
540,2.2190468864863
546,4.281542283403956
549,3.0248302067208828
553,3.3063592350888413
554,3.311040753329312
555,6.52847262993329
557,3.61982365895671
571,4.007184826664192
576,3.60709028165668
588,3.279343954656759
598,1.826725702658651
601,3.76190644083496
602,4.477380824202587
610,3.5585535201862974
617,4.0028908472731235
619,4.428388670053137
629,1.423204083155115
631,4.147371192706372
641,2.77893304611091
642,2.700978553309879
646,2.2271312352343524
647,4.074488702278449
652,3.691136730618113
653,1.524543095706682
655,3.080852984840571
656,2.714006006273434
658,3.7991560787873153
659,4.894941716979693
660,1.9906248635565067
663,4.795424436782614
673,2.4015196624911717
681,2.661376342453587
684,2.8342647822088507
685,5.945199553304477
686,2.4640924004423814
687,4.259033805485257
688,4.331269268435924
692,3.8280026837632897
693,4.4962615006676785
698,5.21651093002861
703,4.240881289591944
704,5.067902818334266
708,3.785344737174087
714,3.9504259283253003
716,3.559939234233606
722,5.208385932745546
723,4.570798080140343
724,4.023205146675986
727,3.978825154194383
730,4.02473163644745
731,6.06951641006504
739,3.9347073108660435
741,3.084875593397713
748,2.3976187256120807
749,2.6742385867679053
750,4.953673152292947
751,2.4368821244679175
754,2.953639092030558
772,4.284472532979873
775,2.7773379067772126
782,3.1979956521129203
787,3.8256022763598354
789,1.0278426813276729
800,3.2611341288130204
802,3.437966434214517
807,3.988381917334618
